Year,Month,Day,statefips,countyfips,O3_max_pred,O3_med_pred,O3_mean_pred,O3_pop_pred
2001,JAN,1,12,11,36.888582,36.152232,36.15472833,36.12996925
2001,JAN,1,12,13,34.337481,34.203937,34.20634933,34.21941303
2001,JAN,1,12,15,32.513845,31.1376045,31.09641708,31.05822058
2001,JAN,1,12,17,37.751894,37.055424,37.08205304,37.05736916
2001,JAN,1,12,19,37.703793,36.800849,36.83054827,36.81666909
2001,JAN,1,12,21,34.93735,33.521319,33.565736,33.58884526
2001,JAN,1,12,23,37.931347,37.730235,37.68409175,37.65511133
2001,JAN,1,12,27,34.011825,33.552455,32.99096,33.22447423
2001,JAN,1,12,29,37.614215,37.429198,37.480467,37.46591806
2001,JAN,1,12,31,37.463806,34.69808,34.77539408,34.78441393
2001,JAN,1,12,33,33.408605,31.764323,31.9075177,31.94435428
2001,JAN,1,12,35,34.897211,34.542581,34.5779843,34.57058663
2001,JAN,1,12,37,35.383311,34.7979875,34.855282,34.76996769
2001,JAN,1,12,39,34.229428,34.125981,34.09155333,34.08959289
2001,JAN,1,12,41,37.890756,37.700363,37.6858198,37.68452559
2001,JAN,1,12,43,34.380245,34.0123945,34.044843,33.93459484
2001,JAN,1,12,45,34.58175,34.500739,34.41944267,34.35270948
2001,JAN,1,12,47,36.768802,36.256245,36.25719833,36.15067809
2001,JAN,1,12,49,34.462896,34.2476225,34.16162783,34.07374341
2001,JAN,1,12,51,35.15188,34.723295,34.44861814,34.427468
2001,JAN,1,12,53,39.229678,38.1652215,38.20091727,38.20262655
2001,JAN,1,12,55,34.363251,34.155682,34.13297974,34.1378027
2001,JAN,1,12,57,38.693968,36.3028405,36.03814564,36.17880777
2001,JAN,1,12,59,34.355071,34.2803495,34.286936,34.28451895
2001,JAN,1,12,61,32.626755,32.1940085,32.0605526,32.04113919
2001,JAN,1,12,63,34.322559,34.043923,34.09649155,34.12051996
2001,JAN,1,12,65,35.018057,34.843144,34.83944233,34.8412234
2001,JAN,1,12,67,37.263348,36.8001205,36.8001205,36.93287409
2001,JAN,1,12,69,38.132417,37.2428695,37.2063135,37.24602937
2001,JAN,1,12,71,33.535433,32.5248205,32.54330335,32.54350498
2001,JAN,1,12,73,34.502745,34.2116135,34.21901131,34.22950995
2001,JAN,1,12,75,37.757882,37.550938,37.57575856,37.54157242
2001,JAN,1,12,77,34.402307,34.2974015,34.2974015,34.24534379
2001,JAN,1,12,79,35.895955,35.60053,35.5741284,35.57539764
2001,JAN,1,12,81,33.291441,28.3884435,28.76939791,28.78033344
2001,JAN,1,12,83,37.284416,36.718953,36.70942068,36.73830359
2001,JAN,1,12,85,35.484525,34.260625,34.27068757,34.20450582
2001,JAN,1,12,86,37.837144,36.480368,36.507972,36.50926163
2001,JAN,1,12,87,38.792169,38.06281,37.97477847,38.04013357
2001,JAN,1,12,89,37.217005,36.0550355,36.1124555,36.1298728
2001,JAN,1,12,91,34.381747,33.886002,33.92819339,33.89523286
2001,JAN,1,12,93,34.141951,33.7032985,33.658295,33.59957442
2001,JAN,1,12,95,37.025051,33.93316,34.0531801,34.01741781
2001,JAN,1,12,97,35.95175,33.195161,33.31159732,33.32103794
2001,JAN,1,12,99,38.469331,37.610419,37.33412045,37.33314382
2001,JAN,1,12,101,40.01122,38.929297,38.79068554,38.74184971
2001,JAN,1,12,103,39.636989,36.043871,35.64746928,35.8493472
2001,JAN,1,12,105,37.938407,35.7906125,35.78169356,35.77470322
2001,JAN,1,12,107,37.240947,36.067319,36.22006541,36.23656423
2001,JAN,1,12,109,36.390492,35.473521,35.34971208,35.39788359
2001,JAN,1,12,111,34.269006,33.6044705,33.53302655,33.58863237
2001,JAN,1,12,113,33.412041,32.390529,32.5189842,32.56655083
2001,JAN,1,12,115,31.685646,28.8913525,28.99104771,29.22153081
2001,JAN,1,12,117,35.606306,34.248885,34.13644519,34.09129726
2001,JAN,1,12,119,37.924916,37.410708,37.43759363,37.35861131
2001,JAN,1,12,121,37.542057,36.64079,36.73872186,36.78724447
2001,JAN,1,12,123,36.718172,35.909415,36.0763725,36.17351996
2001,JAN,1,12,125,38.052484,37.910821,37.92273367,37.9141036
2001,JAN,1,12,127,35.777301,33.683418,33.7250025,33.78405404
2001,JAN,1,12,129,34.91726,34.6771365,34.669381,34.69233008
2001,JAN,1,12,131,34.631048,34.274428,34.272294,34.29585351
2001,JAN,1,12,133,34.308179,34.11676,34.11471886,34.10230097
2001,JAN,1,13,1,33.967252,33.885377,33.8581746,33.84776169
2001,JAN,1,13,3,34.719423,34.689152,34.58976233,34.62596268
2001,JAN,1,13,5,34.181923,34.00331,34.05844833,34.06692186
2001,JAN,1,13,7,34.611335,34.5606225,34.5606225,34.54673571
2001,JAN,1,13,9,32.308123,32.087325,32.09701711,32.06809303
2001,JAN,1,13,11,32.359653,32.0750405,32.11627575,32.12919926
2001,JAN,1,13,13,30.750562,30.205987,30.21502606,30.24436186
2001,JAN,1,13,15,28.736411,28.488914,28.44874807,28.44230519
2001,JAN,1,13,17,34.167822,33.868213,33.9507634,33.93353928
2001,JAN,1,13,19,34.612726,34.34565,34.33143083,34.34701593
2001,JAN,1,13,21,33.176745,32.682847,32.69229607,32.71964426
2001,JAN,1,13,23,33.248929,33.137793,33.132601,33.15940642
2001,JAN,1,13,25,34.769026,34.249175,34.37843967,34.35137416
2001,JAN,1,13,27,35.224326,34.969359,34.935714,34.92890961
2001,JAN,1,13,29,32.55348,32.178993,32.17785857,32.24925587
2001,JAN,1,13,31,32.806222,32.4055605,32.3723795,32.35211516
2001,JAN,1,13,33,31.975717,31.4541285,31.53072217,31.47763342
2001,JAN,1,13,35,31.747461,31.691394,31.600651,31.59683615
2001,JAN,1,13,37,34.706286,34.5720995,34.5720995,34.56472265
2001,JAN,1,13,39,36.28142,35.69474,35.7132246,35.68244931
2001,JAN,1,13,43,33.068142,32.776458,32.86568,32.86402689
2001,JAN,1,13,45,31.737917,31.256727,31.27548694,31.24337955
2001,JAN,1,13,47,26.606544,26.332603,26.29725718,26.28599774
2001,JAN,1,13,49,37.24053,36.4872095,36.4872095,36.08557474
2001,JAN,1,13,51,32.995931,31.049788,31.21742792,31.33040275
2001,JAN,1,13,53,33.664509,33.274617,33.3030502,33.39858397
2001,JAN,1,13,55,28.732464,27.887543,28.0245055,27.97544355
2001,JAN,1,13,57,29.685702,28.7369705,28.80953942,28.82991409
2001,JAN,1,13,59,31.330755,30.9649665,30.95966877,30.96845699
2001,JAN,1,13,61,34.42764,34.42764,34.42764,34.42764
2001,JAN,1,13,63,31.292816,29.745061,29.84027544,29.88000935
2001,JAN,1,13,65,35.895941,35.625314,35.625314,35.47881395
2001,JAN,1,13,67,30.184292,28.36238,28.44614493,28.49712305
2001,JAN,1,13,69,34.243404,34.10628,34.10788011,34.12017946
2001,JAN,1,13,71,34.626807,34.304902,34.3182295,34.33153116
